year,track,problem,instance,solver1,solver2,score1,score2
2015,free,mapping,mesh2x2_mpeg,OscaR_CBLS,chuffed,0.0,1.0
2015,free,mapping,mesh3x3_2,OscaR_CBLS,chuffed,0.0,1.0
2015,free,mapping,mesh3x3_mpeg_2,OscaR_CBLS,chuffed,0.0,1.0
2015,free,mapping,ring_2,OscaR_CBLS,chuffed,0.0,1.0
2015,free,multi_knapsack,mknap1_6,OscaR_CBLS,chuffed,0.0,1.0
2015,free,multi_knapsack,mknap2_1,OscaR_CBLS,chuffed,0.0,1.0
2015,free,multi_knapsack,mknap2_2,OscaR_CBLS,chuffed,0.0,1.0
2015,free,multi_knapsack,mknap2_20,OscaR_CBLS,chuffed,0.0,1.0
2015,free,multi_knapsack,mknap2_32,OscaR_CBLS,chuffed,1.0,0.0
2015,free,nmseq,176,OscaR_CBLS,chuffed,0.0,1.0
2015,free,nmseq,207,OscaR_CBLS,chuffed,0.0,1.0
2015,free,nmseq,269,OscaR_CBLS,chuffed,0.0,1.0
2015,free,nmseq,393,OscaR_CBLS,chuffed,0.0,1.0
2015,free,nmseq,83,OscaR_CBLS,chuffed,0.0,1.0
2015,free,opd,flener_et_al_10_350_100,OscaR_CBLS,chuffed,1.0,0.0
2015,free,opd,medium_10_100_30,OscaR_CBLS,chuffed,1.0,0.0
2015,free,opd,small_bibd_10_30_09,OscaR_CBLS,chuffed,0.9942108300707045,0.005789169929295472
2015,free,opd,small_bibd_11_22_10,OscaR_CBLS,chuffed,0.9956935548642049,0.004306445135795215
2015,free,opd,small_bibd_13_26_06,OscaR_CBLS,chuffed,0.9349804262722923,0.0650195737277077
2015,free,open_stacks,problem_20_20_1,OscaR_CBLS,chuffed,0.0,1.0
2015,free,open_stacks,problem_30_15_1,OscaR_CBLS,chuffed,0.0,1.0
2015,free,open_stacks,wbo_10_20_1,OscaR_CBLS,chuffed,0.0,1.0
2015,free,open_stacks,wbop_15_30_1,OscaR_CBLS,chuffed,0.0,1.0
2015,free,open_stacks,wbp_20_20_1,OscaR_CBLS,chuffed,0.0,1.0
2015,free,p1f,12,OscaR_CBLS,chuffed,0.0,1.0
2015,free,p1f,13,OscaR_CBLS,chuffed,0.0,1.0
2015,free,p1f,14,OscaR_CBLS,chuffed,0.0,1.0
2015,free,p1f,15,OscaR_CBLS,chuffed,0.0,1.0
2015,free,p1f,17,OscaR_CBLS,chuffed,0.0,1.0
2015,free,project_planning,ProjectPlannertest_12_7,OscaR_CBLS,chuffed,0.0,1.0
2015,free,project_planning,ProjectPlannertest_14_7,OscaR_CBLS,chuffed,0.0,1.0
2015,free,project_planning,ProjectPlannertest_15_6,OscaR_CBLS,chuffed,0.0,1.0
2015,free,project_planning,ProjectPlannertest_16_6,OscaR_CBLS,chuffed,0.0,1.0
2015,free,project_planning,ProjectPlannertest_16_8,OscaR_CBLS,chuffed,0.0,1.0
2015,free,radiation,i14_9,OscaR_CBLS,chuffed,0.0,1.0
2015,free,radiation,i6_11,OscaR_CBLS,chuffed,0.0,1.0
2015,free,radiation,i6_21,OscaR_CBLS,chuffed,0.0,1.0
2015,free,radiation,i7_9,OscaR_CBLS,chuffed,0.0,1.0
2015,free,radiation,i9_11,OscaR_CBLS,chuffed,0.0,1.0
2015,free,roster,chicroster_dataset_11,OscaR_CBLS,chuffed,0.06304347826086956,0.9369565217391305
2015,free,roster,chicroster_dataset_17,OscaR_CBLS,chuffed,0.16984661429105874,0.8301533857089411
2015,free,roster,chicroster_dataset_2,OscaR_CBLS,chuffed,0.030268634127884976,0.969731365872115
2015,free,roster,chicroster_dataset_5,OscaR_CBLS,chuffed,0.039112667834209,0.960887332165791
2015,free,roster,chicroster_dataset_7,OscaR_CBLS,chuffed,0.04593128390596746,0.9540687160940327
2015,free,spot5,1401,OscaR_CBLS,chuffed,0.0,1.0
2015,free,spot5,28,OscaR_CBLS,chuffed,0.0,1.0
2015,free,spot5,414,OscaR_CBLS,chuffed,0.0,1.0
2015,free,spot5,503,OscaR_CBLS,chuffed,0.0,1.0
2015,free,spot5,54,OscaR_CBLS,chuffed,0.0,1.0
2015,free,tdtsp,inst_10_24_10,OscaR_CBLS,chuffed,0.0,1.0
2015,free,tdtsp,inst_10_34_00,OscaR_CBLS,chuffed,0.0,1.0
2015,free,tdtsp,inst_10_42_10,OscaR_CBLS,chuffed,0.0,1.0
2015,free,tdtsp,inst_20_14_10,OscaR_CBLS,chuffed,0.0,1.0
2015,free,tdtsp,inst_20_25_00,OscaR_CBLS,chuffed,0.0,1.0
2015,free,triangular,n10,OscaR_CBLS,chuffed,0.5,0.5
2015,free,triangular,n16,OscaR_CBLS,chuffed,1.0,0.0
2015,free,triangular,n22,OscaR_CBLS,chuffed,1.0,0.0
2015,free,triangular,n28,OscaR_CBLS,chuffed,1.0,0.0
2015,free,triangular,n37,OscaR_CBLS,chuffed,1.0,0.0
2015,free,zephyrus,zephyrus_15_10,OscaR_CBLS,chuffed,0.0,1.0
2015,free,zephyrus,zephyrus_20_20,OscaR_CBLS,chuffed,0.0,1.0
2015,free,zephyrus,zephyrus_5_20,OscaR_CBLS,chuffed,0.0,1.0
2015,free,zephyrus,zephyrus_5_4,OscaR_CBLS,chuffed,0.0,1.0
2015,free,zephyrus,zephyrus_FH_2_15,OscaR_CBLS,chuffed,0.0,1.0
2015,free,costas_array,16,OscaR_CBLS,Mistral,0.7115460224542397,0.28845397754576035
2015,free,costas_array,17,OscaR_CBLS,Mistral,0.7627469014943858,0.2372530985056142
2015,free,costas_array,18,OscaR_CBLS,Mistral,0.0,1.0
2015,free,costas_array,19,OscaR_CBLS,Mistral,0.0,1.0
2015,free,cvrp,A_n37_k5_dot_vrp,OscaR_CBLS,Mistral,0.0,1.0
2015,free,cvrp,A_n64_k9_dot_vrp,OscaR_CBLS,Mistral,0.0,1.0
